Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Azfar Shakeel;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;MS;National University of Sciences and Technology;Pakistan;2011; Computer Security and Application of Cellular Automata.;
Muzaffar Iqbal;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Masters;Gomal University;Pakistan;;Object Oriented Programming, Visual Programming, Software Project Management and Model Transformation.;
Muhammad Rashid Mukhtar;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;Software Project Management and Software Engineering.;
Assad Abbas;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;North Dakota State University;USA;2016;Smart Health, Big Data Analytics, Recommendation Systems, Patent Analysis, and Social Network Analysis;
Javed Iqbal;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;University of Malaya;Malaysia;;Software Process Improvement, Requirements Engineering & Software Development Outsourcing ;
Azra Shamim;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Tahir Mustafa Madni;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;MS;KTH Royal Institute of Technology;Sweden;; interactive systems, human computer interaction, ubiquitous computing and multimodal interfaces.;
Zeeshan Mehta;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Shahid Hussain;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Muzafar Khan;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;University of Technology;Malaysia;;n HCI in general and usability evaluation / user experience ;
Qasim Arshad Choudhry;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Ms.Rubina Adnan;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Ms. Zaineb Suleman;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Rizwana Irfa;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Mubeen Ghafoor;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Muhammad Imran;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Mariam Akbar;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;COMSATS Institute of Information Technology;Pakistan;2016;Underwater Wireless Sensor Networks and Energy Management.;
Zobia Rehman;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;Knowledge Management and Natural Language Processing.;
Mr. Tanveer Ahmed;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;MS;Government College University;Pakistan;2003; Natural Language Processing, Machine Learning, and Text Mining.;
Adnan Akhunzada;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;National University of Sciences and Technology;Pakistan;; Secure & Dependable Software Defined Networks, Man-at-the-End Attacks Plus Human Attacker Attribution & Profiling, Large Scale Distributed Systems (Fog, Edge, and Cloud Computing (CC), Mobile Cloud Computing (MCC) etc.), Remote Data Auditing, Light Weight Cryptography, Blockchain and Cryptocurrency.;
Tehseen Zia;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Hasan Ali Khattak;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Saif ul Islam;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Saif ur Rehman Khan;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;MS;Mohammad Ali Jinnah University;Pakistan;;Software Testing, Object Oriented Analysis and Design, and Formal Methods;
Aamir Shabbir Parre;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Atique Ahmad Zafar;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Saleem Raza;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Rashid Mehmood;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Mr. Zaheer ul Hussain Sani;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Muhammad Umair Naru;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Uzair Iqbal Janjua;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Basharat Mahmood;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Asif Muhammad Malik;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Adeel Javed;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Mr.Tehseen Riaz Abbasi;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Hasham Ali;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Saadia Aziz;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Ashfaq Hussain Farooqi;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;Computational Intelligence and Network security. ;
Ali Zahir;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Afzaal Hassan ;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Khuram Iqbal;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;MBA;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;2012;Business Intelligence, Information System Management and E-Commerce.;
Zulfiqar Ali;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Waqar Ali Khan;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Sajida Kalsoom;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;formation security, pattern recognition and computer vision.;
Nazia Hameed;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;web development.Her research interest are computer vision and medical image processing. ;
Shahela Saif;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Saadia Maqbool;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Shawana Jamil;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;Machine Learning and Data mining.;
Maham Shahid;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Numera M I Shahid;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Memoona Malik;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Najmun Nisa;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
Sabah Suhail;COMSATS, Islamabad Campus;Computer Science;Capital;Lecturer;;;;;;
