,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
200,Rizwan Rashid,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,MS,Blekinge Institute of Technology,Sweden,,,
201,Sehresh Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
202,Sidra Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
203,Nusrat Shaheen,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
204,Saira Beg,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
205,Behjat Zuhaira,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
206,Muhammad Fayez,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
207,Isma ul Hassan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
208,Bushra Naz,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
209,Hilal Jan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
210,Sidra tul Muntaha,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
211,Umar Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
212,Sadia Maryam,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
213,Muhammad Usman Tariq,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
214,Rafia Farooq,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
215,Awais Ahmad,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
216,Qasim Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
217,Sana Nasir,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
218,Hufsa Mohsin,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
219,Waseem Abbas,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
220,Sara Ali,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
221,Azam Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
222,Ahmed Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
223,Gulmina Rextina,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
224,Taimur Shahzad,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
225,Humaira Waqas,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
226,Aaliya Sarfaraz,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
227,Anis ur Rahman,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Grenoble,France,2013.0,"Visual Perception, Computer Vision, GPGPU",
228,Mian Muhammad Hamayun,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Grenoble,France,2012.0,"Native Simulation of MPSoC, Virtualization, Software Performance Estimation and Binary Translation",
229,Asad Waqar Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2012.0,Parallel and Distributed Simulation,
230,Asad Ali Shah,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,2017.0,"Question Answering, Credibility Assessment, Information Retrieval, Information Processing, Semantic Web",
231,Arsalan Ahmad,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Politecnico di Torino,Italy,2014.0,"Energy Efficiency in Telecommunication Networks, Optical Network Optimization",
232,Muhammad Zeeshan,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2016.0,Wireless Networks,
